,Brand,Model,Year,Color,fuelType,gearType,engineSize,Mileage,Region,Price,Age
0,mercedes,s,2017,black,gas,automatic,3.5,-0.5032140521972474,riyadh,220000,6
1,chevrolet,malibu,2013,white,gas,automatic,3.5,0.8355031546208708,eastern,26500,10
2,kia,cadenza,2018,black,gas,automatic,3.0,0.3281794869073764,makkah,54000,5
3,kia,sorento,2015,white,gas,automatic,2.4,0.24716201905959406,riyadh,30000,8
4,nissan,maxima,2016,black,gas,automatic,3.5,0.6811841682441425,riyadh,56500,7
5,toyota,innova,2017,white,gas,automatic,2.7,0.6136696117043239,makkah,56000,6
6,hyundai,santa fe,2016,white,gas,automatic,3.3,0.5943797384072328,riyadh,50000,7
7,hyundai,tucson,2017,gray,gas,automatic,2.0,0.3532563221935948,makkah,57000,6
8,hyundai,elantra,2016,gray,gas,automatic,1.6,1.693902516341422,riyadh,30500,7
9,nissan,patrol,2021,blue,gas,automatic,4.0,-0.7076867091464124,riyadh,260000,2
10,hyundai,genesis,2020,blue,gas,automatic,5.0,-0.43762848298713786,riyadh,200000,3
11,hyundai,elantra,2022,gray,gas,automatic,2.0,-0.6787518992007758,riyadh,60000,1
12,toyota,rush,2019,gray,gas,automatic,1.5,-0.4279835463385923,makkah,50500,4
13,hyundai,sonata,2014,white,gas,automatic,2.4,1.8626889076909687,riyadh,35000,9
14,hyundai,tucson,2015,white,gas,automatic,2.0,0.5654449284615962,makkah,42000,8
15,hyundai,sonata,2018,brown,gas,automatic,2.4,0.8054881117705971,riyadh,50000,5
16,chevrolet,traverse,2016,white,gas,automatic,3.6,0.40148100543632237,makkah,42000,7
17,hyundai,elantra,2015,gray,gas,automatic,1.6,2.6294613712503376,eastern,30000,8
18,hyundai,accent,2017,white,gas,automatic,1.4,1.5202936566676026,riyadh,26000,6
19,mercedes,cls,2019,brown,gas,automatic,2.0,-0.9391651887115049,makkah,249000,4
20,gmc,yukon,2017,black,gas,automatic,5.3,0.6329594850014149,riyadh,101500,6
21,hyundai,tucson,2018,white,gas,automatic,2.0,-0.9488101253600504,makkah,76000,5
22,hyundai,accent,2018,gray,gas,automatic,1.4,1.3466847969937834,riyadh,27500,5
23,gmc,sierra,2013,white,gas,automatic,6.2,2.079699982283243,makkah,41000,10
24,hyundai,accent,2019,gray,gas,automatic,1.4,-0.13863544688222673,makkah,38000,4
25,hyundai,tucson,2015,red,gas,automatic,2.0,1.5106487200190573,riyadh,31500,8
26,ford,escape,2016,black,gas,automatic,2.5,0.47864049862468655,riyadh,30000,7
27,toyota,fortuner,2015,white,gas,automatic,2.4,1.2695253038054193,riyadh,45000,8
28,kia,sportage,2020,white,gas,automatic,1.6,-0.3315341798531371,riyadh,77000,3
29,chevrolet,malibu,2016,white,gas,automatic,2.5,0.7776335347295976,makkah,35000,7
30,nissan,patrol,2017,gray,gas,automatic,4.0,0.025328476143047115,makkah,152500,6
31,mercedes,s,2018,white,gas,automatic,3.0,-0.20615000342204537,makkah,330000,5
32,lexus,es,2019,white,gas,automatic,3.5,-1.0066797452513234,makkah,205500,4
33,lexus,es,2022,gray,gas,automatic,3.5,-1.1417088583309607,riyadh,250000,1
34,hyundai,sonata,2022,black,gas,automatic,2.5,-1.106987086396197,riyadh,103000,1
35,mercedes,s,2014,white,gas,automatic,4.7,0.4882854352732321,makkah,203000,9
36,nissan,navara,2014,white,gas,automatic,2.5,0.4111259420848679,makkah,40000,9
37,nissan,patrol,2018,white,gas,automatic,4.0,-0.39904873639295574,riyadh,151000,5
38,hyundai,tucson,2017,gray,gas,automatic,2.0,0.6937225858872517,makkah,62000,6
39,lexus,es,2019,gray,gas,automatic,3.5,-0.6305272159580483,makkah,155000,4
40,chevrolet,tahoe,2014,yellow,gas,automatic,5.3,1.5588734032617848,makkah,68500,9
41,lexus,lx,2021,green,gas,automatic,5.7,-1.0452594918455056,makkah,420000,2
42,lexus,lx,2016,yellow,gas,automatic,5.7,1.1827208739685096,riyadh,253000,7
43,lexus,is,2016,black,gas,automatic,3.5,0.3146765755994127,makkah,105000,7
44,nissan,x-trail,2022,white,gas,automatic,2.5,-1.1417088583309607,makkah,136000,1
45,chevrolet,tahoe,2014,yellow,gas,automatic,5.3,1.1827208739685096,makkah,58000,9
46,toyota,hilux,2020,white,gas,automatic,2.7,-0.09041076363949913,makkah,90000,3
47,lexus,rx,2019,blue,gas,automatic,3.5,-0.6594620259036849,makkah,180500,4
48,mercedes,s,2018,white,gas,automatic,3.0,-0.042962613536219246,makkah,289500,5
49,ford,expedition,2011,gray,gas,automatic,5.4,1.491358846721966,riyadh,29000,12
50,ford,expedition,2014,black,gas,automatic,5.4,1.3177499870481468,makkah,52500,9
51,toyota,land cruiser,2013,white,gas,automatic,4.6,1.5492284666132392,riyadh,99000,10
52,lexus,es,2015,black,gas,automatic,3.5,0.5075753085703231,riyadh,81000,8
53,toyota,fortuner,2018,white,gas,automatic,2.7,-0.5051430395269565,makkah,90000,5
54,kia,optima,2015,white,gas,automatic,2.4,1.2405904938597827,riyadh,38000,8
55,toyota,corolla,2020,white,gas,automatic,1.6,-1.0259696185484146,riyadh,72000,3
56,chevrolet,impala,2014,white,gas,automatic,3.6,-0.15792532017931776,riyadh,65000,9
57,kia,sorento,2012,black,gas,automatic,3.5,1.3852645435879654,makkah,36000,11
58,gmc,yukon,2020,black,gas,automatic,5.3,-0.4665632929327744,makkah,167000,3
59,mercedes,s,2013,white,gas,automatic,3.5,0.3532563221935948,riyadh,100000,10
60,toyota,land cruiser,2015,white,gas,automatic,4.6,-0.75591139238914,riyadh,173000,8
61,kia,sorento,2013,gray,gas,automatic,3.5,0.6522493582985059,makkah,36500,10
62,hyundai,sonata,2020,gray,gas,automatic,2.5,0.23751708241104855,makkah,76000,3
63,chevrolet,camaro,2015,gray,gas,automatic,6.2,0.6985450542115244,riyadh,70000,8
64,nissan,maxima,2016,red,gas,automatic,3.5,-0.49549810287841095,makkah,71500,7
65,hyundai,h1,2013,yellow,gas,automatic,2.4,0.9994670776461446,riyadh,30000,10
66,mercedes,ml,2013,white,gas,automatic,5.5,0.37254619549068585,makkah,110000,10
67,toyota,fortuner,2020,white,gas,automatic,2.7,0.6426044216499603,riyadh,85000,3
68,chevrolet,tahoe,2020,black,gas,automatic,5.3,0.006038602845956073,makkah,132000,3
69,mercedes,s,2016,black,gas,automatic,4.7,0.33396644889650373,makkah,198000,7
70,mercedes,e,2019,black,gas,automatic,2.0,-0.26401962331331846,riyadh,178500,4
71,lexus,es,2016,black,gas,automatic,3.5,-0.1048781686123174,riyadh,116000,7
72,toyota,hilux,2012,white,gas,manual,2.7,1.4238442901821475,riyadh,47500,11
73,gmc,yukon,2018,blue,gas,automatic,5.3,0.21822720911395752,riyadh,150000,5
74,ford,expedition,2012,gray,gas,automatic,5.4,1.2280520762166733,makkah,34500,11
75,lexus,rx,2021,black,gas,automatic,3.5,-1.016324681899869,riyadh,225000,2
76,gmc,sierra,2017,white,gas,automatic,5.3,0.5509775234887779,riyadh,93500,6
77,hyundai,tucson,2016,white,gas,automatic,2.0,1.2213006205626915,makkah,51500,7
78,mercedes,c,2018,blue,gas,automatic,2.0,-0.05183101704531705,makkah,135500,5
79,toyota,hilux,2016,white,gas,manual,2.7,0.7197639148383246,riyadh,51000,7
80,mercedes,e,2017,black,gas,automatic,3.0,0.09766550100713851,riyadh,175000,6
81,gmc,sierra,2017,gray,gas,automatic,5.3,0.015683539494501592,riyadh,90000,6
82,mercedes,c,2017,white,gas,automatic,2.0,0.16658466896095825,riyadh,127000,6
83,gmc,yukon,2015,white,gas,automatic,5.3,1.7517721362326952,riyadh,72000,8
84,nissan,patrol,2016,white,gas,automatic,5.6,-0.11741658625542659,riyadh,107000,7
85,ford,f-150,2012,white,gas,automatic,6.2,0.2857417656537761,riyadh,122000,11
86,toyota,avalon,2015,white,gas,automatic,3.5,1.8819787809880597,riyadh,52000,8
87,toyota,corolla,2018,gray,gas,automatic,1.6,0.2857417656537761,makkah,45000,5
88,hyundai,elantra,2014,white,gas,automatic,1.6,0.11213290597995679,riyadh,34000,9
89,toyota,camry,2017,white,gas,automatic,2.5,-0.4279835463385923,eastern,72000,6
90,mercedes,s,2020,green,gas,automatic,3.0,-0.6883968358493213,makkah,459000,3
91,nissan,sentra,2017,white,gas,automatic,1.6,0.9898221409975991,makkah,32000,6
92,toyota,camry,2015,black,gas,automatic,2.5,2.079699982283243,makkah,40000,8
93,chevrolet,impala,2015,red,gas,automatic,3.6,0.37254619549068585,makkah,53000,8
94,toyota,corolla,2018,yellow,gas,automatic,1.6,1.1441411273743274,makkah,43000,5
95,hyundai,santa fe,2019,white,gas,automatic,2.4,-0.4086936730415013,makkah,80000,4
96,mercedes,e,2021,black,gas,automatic,3.0,-1.165473982232977,riyadh,347000,2
97,hyundai,kona,2021,blue,gas,automatic,2.0,-1.156176263303779,makkah,73000,2
98,toyota,prado,2016,white,gas,automatic,4.0,0.6233145483528694,riyadh,120000,7
99,toyota,avalon,2014,black,gas,automatic,3.5,1.2598803671568737,riyadh,55000,9
100,kia,cerato,2016,gray,gas,automatic,1.6,-0.23508481336768192,makkah,36000,7
101,hyundai,tucson,2015,white,gas,automatic,2.0,0.5943797384072328,riyadh,46000,8
102,chevrolet,tahoe,2015,brown,gas,automatic,5.3,-0.6305272159580483,makkah,105000,8
103,ford,edge,2016,yellow,gas,automatic,3.5,-0.15792532017931776,makkah,64000,7
104,gmc,yukon,2015,red,gas,automatic,5.3,1.5010037833705117,makkah,70000,8
105,ford,edge,2014,black,gas,automatic,3.5,0.7294088514868701,makkah,50000,9
106,ford,expedition,2014,gray,gas,automatic,5.3,-0.1772151934764088,makkah,52500,9
107,nissan,sentra,2015,gray,gas,automatic,1.6,2.1665044121201524,makkah,27000,8
108,toyota,corolla,2017,white,gas,automatic,1.6,0.23751708241104855,riyadh,49000,6
109,ford,f-150,2014,red,gas,automatic,5.4,-0.38940379974441025,riyadh,92000,9
110,ford,expedition,2014,black,gas,automatic,5.2,0.4211277413894096,riyadh,31000,9
111,mercedes,c,2022,white,gas,automatic,1.5,-1.1937915162331065,riyadh,263000,1
112,mercedes,s,2018,black,diesel,automatic,3.5,-0.9680999986571415,makkah,250000,5
113,toyota,fortuner,2020,white,gas,automatic,2.7,-0.5823025327153206,riyadh,99000,3
114,toyota,land cruiser,2016,black,gas,automatic,4.6,0.32432151224795824,makkah,145000,7
115,toyota,prado,2013,white,gas,automatic,2.4,2.050765172337606,makkah,69000,10
116,mercedes,e,2014,white,gas,automatic,2.0,0.40148100543632237,riyadh,82000,9
117,kia,optima,2017,gray,gas,automatic,2.0,0.7004740415412335,makkah,45000,6
118,hyundai,tucson,2013,white,gas,automatic,2.0,0.7583436614325066,makkah,33000,10
119,mercedes,s,2014,white,gas,automatic,3.0,-0.34117911650168264,riyadh,178000,9
120,chevrolet,captiva,2021,black,gas,automatic,1.5,-0.5823025327153206,makkah,65000,2
121,toyota,corolla,2015,gray,gas,automatic,1.6,0.5172202452188687,riyadh,41500,8
122,toyota,land cruiser,2013,white,gas,automatic,4.6,1.8289316294210594,riyadh,90000,10
123,toyota,fortuner,2015,white,gas,automatic,2.7,1.0766265708345089,makkah,58000,8
124,hyundai,elantra,2016,white,gas,automatic,2.0,1.5299385933161482,riyadh,32000,7
125,toyota,avalon,2020,gray,gas,automatic,3.5,-0.951703606354614,riyadh,158200,3
126,mercedes,c,2017,white,gas,automatic,3.0,-0.31224430655604607,riyadh,150000,6
127,hyundai,tucson,2019,gray,gas,automatic,2.0,-0.1772151934764088,makkah,75000,4
128,mercedes,s,2015,white,gas,automatic,4.7,0.5750898651101417,riyadh,180000,8
129,hyundai,accent,2021,gray,gas,automatic,1.4,-0.736621519092049,riyadh,54000,2
130,mercedes,ml,2013,black,gas,automatic,3.5,0.24716201905959406,riyadh,72000,10
131,toyota,rav4,2013,white,gas,automatic,2.5,0.9126626478092349,riyadh,39500,10
132,hyundai,accent,2017,white,gas,automatic,1.4,1.2020107472656005,makkah,30000,6
133,ford,f-150,2014,white,gas,automatic,6.2,1.0959164441315998,makkah,85000,9
134,kia,sorento,2016,white,gas,automatic,3.5,-0.4279835463385923,eastern,56000,7
135,gmc,acadia,2012,gray,gas,automatic,3.6,0.05426328608868367,riyadh,35000,11
136,hyundai,azera,2015,white,gas,automatic,3.0,1.732482262935604,riyadh,33000,8
137,toyota,fortuner,2011,brown,gas,automatic,2.7,1.8964461859608779,makkah,33000,12
138,nissan,pathfinder,2014,white,gas,automatic,3.5,0.04461834944013815,riyadh,55000,9
139,hyundai,sonata,2019,gray,gas,automatic,2.4,-0.10005570028804464,riyadh,46500,4
140,kia,sportage,2012,gray,gas,automatic,2.0,1.00911201429469,makkah,28500,11
141,hyundai,tucson,2014,blue,gas,automatic,2.4,0.9415974577548715,makkah,40000,9
142,nissan,pathfinder,2013,brown,gas,automatic,3.5,1.5588734032617848,riyadh,20500,10
143,hyundai,accent,2013,white,gas,automatic,1.4,0.7969234080266887,makkah,23500,10
144,ford,focus,2015,white,gas,automatic,1.6,0.2664518923566851,riyadh,16500,8
145,kia,picanto,2015,gray,gas,manual,1.2,-0.34117911650168264,makkah,18000,8
146,mercedes,s,2014,black,gas,automatic,3.0,0.7004740415412335,makkah,181000,9
147,ford,expedition,2012,gray,gas,automatic,5.4,2.1472145388230617,makkah,43000,11
148,ford,expedition,2014,black,gas,automatic,5.4,1.3852645435879654,makkah,62000,9
149,lexus,rx,2017,white,gas,automatic,3.5,0.8065683446752342,makkah,173500,6
150,lexus,lx,2018,blue,gas,automatic,5.7,0.3050316389508672,riyadh,320000,5
151,toyota,fj,2015,white,gas,automatic,4.0,2.0025404890948786,riyadh,74000,8
152,lexus,rx,2022,blue,gas,automatic,3.5,-1.1899335415736885,riyadh,254000,1
153,chevrolet,tahoe,2015,brown,gas,automatic,5.3,1.0380468242403267,riyadh,87000,8
154,toyota,rav4,2019,white,gas,automatic,2.0,0.006038602845956073,riyadh,66500,4
155,toyota,fortuner,2016,white,gas,automatic,2.7,0.5557999918130507,riyadh,65000,7
156,kia,cerato,2014,gray,gas,automatic,2.0,0.5750898651101417,riyadh,23500,9
157,kia,optima,2016,gray,gas,automatic,2.4,0.8451480912694163,makkah,30500,7
158,hyundai,accent,2015,gray,gas,automatic,1.4,0.5943797384072328,makkah,23000,8
159,hyundai,elantra,2013,white,gas,automatic,1.6,1.4334892268306931,makkah,24000,10
160,toyota,yaris,2014,gray,gas,automatic,1.3,1.7999968194754228,makkah,22000,9
161,gmc,acadia,2013,white,gas,automatic,3.6,1.5974531498559668,makkah,23000,10
162,hyundai,sonata,2018,gray,gas,automatic,2.4,-0.11934557358513569,riyadh,44000,5
163,gmc,acadia,2011,black,gas,automatic,3.6,1.472068973424875,riyadh,14500,12
164,kia,picanto,2019,gray,gas,automatic,1.2,-0.8330708855775042,eastern,33000,4
165,toyota,camry,2020,gray,gas,automatic,2.5,-0.5668416992677022,riyadh,90900,3
166,chevrolet,suburban,2019,white,gas,automatic,5.3,-0.8041360756318676,riyadh,195000,4
167,lexus,gs,2018,white,gas,automatic,3.5,-0.736621519092049,riyadh,170000,5
168,kia,cadenza,2019,blue,gas,automatic,3.5,-0.3508240531502282,riyadh,72000,4
169,hyundai,azera,2022,white,gas,automatic,3.5,-1.2092234148707794,riyadh,115000,1
170,toyota,land cruiser,2014,white,gas,automatic,5.8,2.21472909536288,riyadh,128000,9
171,hyundai,azera,2020,white,gas,automatic,3.0,-0.16757025682786328,riyadh,72000,3
172,hyundai,tucson,2018,gray,gas,automatic,2.4,-0.273664559961864,riyadh,70000,5
173,gmc,yukon,2016,yellow,gas,automatic,5.3,0.9898221409975991,riyadh,105000,7
174,hyundai,azera,2020,gray,gas,automatic,3.0,-0.23508481336768192,riyadh,75000,3
175,hyundai,sonata,2016,white,gas,automatic,2.4,1.028401887591781,riyadh,48000,7
176,gmc,yukon,2008,yellow,gas,automatic,5.3,3.5360854162136164,riyadh,30000,15
177,gmc,yukon,2007,white,gas,automatic,5.3,2.7066208644387015,riyadh,30000,16
178,nissan,patrol,2010,white,gas,automatic,5.6,2.1665044121201524,riyadh,70000,13
179,hyundai,azera,2019,gray,gas,automatic,3.5,-0.5437227861211386,riyadh,80000,4
180,toyota,camry,2019,gray,gas,automatic,2.5,0.07355315938577471,riyadh,78000,4
181,hyundai,tucson,2018,blue,gas,automatic,2.4,-0.514787976175502,riyadh,75000,5
182,nissan,patrol,2015,white,gas,automatic,5.8,1.2791702404539647,riyadh,110000,8
183,nissan,patrol,2016,black,gas,automatic,5.6,2.86093985081543,riyadh,102000,7
184,toyota,camry,2020,white,gas,manual,2.5,-0.20615000342204537,riyadh,75000,3
185,toyota,camry,2021,gray,hybrid,cvt,2.5,-0.775201265686231,riyadh,99000,2
186,nissan,patrol,2016,white,gas,automatic,5.8,1.7710620095297862,riyadh,95000,7
187,toyota,camry,2020,white,gas,automatic,2.5,-0.1772151934764088,riyadh,88000,3
188,chevrolet,suburban,2011,white,gas,automatic,5.3,1.7710620095297862,riyadh,37000,12
189,hyundai,accent,2020,gray,gas,automatic,1.4,-0.2584255600571621,riyadh,45100,3
190,hyundai,sonata,2019,black,gas,automatic,2.4,-0.514787976175502,riyadh,69000,4
192,lexus,ls,2010,gray,gas,automatic,4.0,1.9832506157977876,riyadh,77000,13
194,ford,taurus,2019,gray,gas,automatic,3.5,0.0639082227372292,riyadh,65000,4
195,lexus,is,2017,gray,gas,automatic,3.5,1.0959164441315998,riyadh,82000,6
196,toyota,camry,2019,gray,gas,automatic,2.5,0.4111259420848679,riyadh,85000,4
197,hyundai,azera,2021,gray,gas,automatic,3.5,-0.9488101253600504,riyadh,115000,2
198,toyota,land cruiser,2010,gray,gas,automatic,5.8,1.8482215027181503,riyadh,75000,13
199,kia,cadenza,2018,blue,gas,automatic,3.5,-0.05183101704531705,riyadh,62000,5
200,hyundai,azera,2018,black,gas,automatic,3.5,-0.14828038353077225,riyadh,68000,5
201,gmc,yukon,2017,yellow,gas,automatic,5.3,0.015683539494501592,riyadh,120000,6
202,hyundai,elantra,2017,black,gas,automatic,2.0,0.15071265257413888,riyadh,55000,6
203,chevrolet,suburban,2017,gray,gas,automatic,5.3,2.0700550456346973,riyadh,98000,6
204,toyota,camry,2019,brown,gas,automatic,3.5,-0.3604689897987737,riyadh,90000,4
205,hyundai,azera,2018,brown,gas,automatic,3.5,0.04461834944013815,riyadh,68000,5
206,nissan,patrol,2015,white,gas,automatic,5.6,2.050765172337606,riyadh,95000,8
207,lexus,gs,2014,white,gas,automatic,3.5,2.02183036239197,riyadh,90000,9
208,lexus,gs,2014,gray,gas,automatic,3.5,1.1055613807801454,riyadh,90000,9
209,gmc,yukon,2017,yellow,gas,automatic,5.3,1.472068973424875,riyadh,110000,6
210,toyota,fortuner,2014,black,gas,automatic,4.0,1.8482215027181503,riyadh,58000,9
211,lexus,lx,2019,yellow,gas,automatic,5.8,-0.5630126594182296,riyadh,360000,4
212,kia,cadenza,2020,brown,gas,automatic,3.5,-0.4279835463385923,riyadh,85000,3
213,ford,taurus,2016,black,gas,automatic,3.5,0.8451480912694163,riyadh,50000,7
214,chevrolet,suburban,2012,black,gas,automatic,5.3,0.468995561976141,riyadh,35000,11
215,kia,cadenza,2017,brown,gas,automatic,3.5,2.4269177016308814,riyadh,58000,6
216,ford,taurus,2019,black,gas,automatic,2.0,-0.23508481336768192,riyadh,82000,4
217,chevrolet,spark,2018,white,gas,automatic,1.4,0.5115586674061724,riyadh,27000,5
218,toyota,land cruiser,2016,white,gas,automatic,4.0,2.272598715254153,riyadh,170000,7
219,mercedes,s,2017,white,gas,automatic,4.7,-0.7038287344869942,riyadh,290000,6
220,toyota,yaris,2022,gray,gas,cvt,1.5,-1.0741943017911422,riyadh,63000,1
221,toyota,fortuner,2020,white,gas,automatic,2.7,-0.8041360756318676,riyadh,92000,3
222,chevrolet,spark,2019,white,gas,automatic,1.4,-0.3193622698026727,riyadh,28400,4
223,toyota,land cruiser,2016,white,gas,automatic,4.6,1.7035474529899677,riyadh,149000,7
224,toyota,fj,2015,white,gas,automatic,4.0,1.5492284666132392,riyadh,89000,8
225,ford,taurus,2019,black,gas,automatic,2.5,-0.07112089034240808,riyadh,75000,4
226,hyundai,sonata,2018,gray,gas,automatic,2.4,0.3532563221935948,riyadh,55000,5
227,chevrolet,malibu,2018,white,gas,automatic,2.4,0.5750898651101417,riyadh,55000,5
228,ford,expedition,2010,gray,gas,automatic,5.4,0.43041581538195894,riyadh,32000,13
229,hyundai,azera,2019,gray,gas,automatic,3.0,-0.6594620259036849,riyadh,75000,4
230,mercedes,s,2006,white,gas,automatic,3.7,2.156859475471607,riyadh,56000,17
231,kia,cadenza,2020,white,gas,automatic,3.5,-0.3701139264473192,riyadh,77000,3
232,toyota,avalon,2015,white,gas,automatic,3.5,1.4817139100734207,riyadh,69500,8
233,nissan,sunny,2020,white,gas,automatic,1.5,-0.5630126594182296,riyadh,45000,3
234,chevrolet,spark,2019,black,gas,automatic,1.4,-0.3260462109001147,riyadh,28400,4
235,toyota,camry,2017,gray,gas,automatic,2.5,2.1279246655259705,riyadh,63000,6
236,ford,explorer,2013,black,gas,automatic,3.5,1.3273949236966922,riyadh,48000,10
237,lexus,lx,2014,white,gas,automatic,5.7,-0.19650506677349985,eastern,230000,9
238,mercedes,e,2021,gray,gas,automatic,1.5,-0.9887208732117317,riyadh,224000,2
239,kia,optima,2020,gray,gas,automatic,2.0,-0.6016213408223573,riyadh,72500,3
240,toyota,yaris,2018,white,gas,cvt,1.5,0.4979303719217776,eastern,45000,5
241,toyota,corolla,2020,white,gas,automatic,1.6,0.0639082227372292,makkah,61000,3
242,mercedes,s,2019,white,gas,automatic,3.0,-0.9198753154144138,riyadh,380000,4
243,ford,mustang,2018,blue,gas,automatic,2.3,-0.4569183562842289,eastern,132000,5
244,ford,expedition,2016,black,gas,automatic,3.5,1.65532276974724,eastern,66000,7
245,chevrolet,spark,2020,gray,gas,automatic,1.4,-0.38633670989017277,riyadh,29100,3
246,kia,sportage,2023,white,gas,automatic,2.0,-1.2092234148707794,makkah,103000,0
247,toyota,yaris,2019,white,gas,automatic,1.5,0.32432151224795824,makkah,51000,4
248,gmc,yukon,2015,white,gas,automatic,5.3,-0.13863544688222673,makkah,130000,8
249,nissan,sunny,2018,white,gas,automatic,1.5,-0.4569183562842289,riyadh,41500,5
250,toyota,land cruiser,2020,white,gas,automatic,4.6,-0.07112089034240808,riyadh,243000,3
251,kia,optima,2017,white,gas,automatic,2.4,0.7197639148383246,riyadh,48000,6
252,chevrolet,tahoe,2010,gray,gas,automatic,5.7,1.3659746702908744,riyadh,39000,13
253,kia,cadenza,2020,gray,gas,automatic,3.5,-0.5244329128240475,riyadh,69000,3
254,toyota,avalon,2020,black,gas,automatic,3.5,-0.07112089034240808,riyadh,129000,3
255,chevrolet,spark,2020,white,gas,automatic,1.4,-0.3340129285718133,riyadh,29300,3
256,chevrolet,spark,2019,black,gas,automatic,1.4,-0.13734302537132162,riyadh,29400,4
257,chevrolet,tahoe,2019,black,gas,automatic,5.0,-0.3218892432045916,riyadh,145000,4
258,lexus,es,2015,white,gas,automatic,3.5,0.44970568867905,riyadh,100000,8
259,chevrolet,cruze,2016,gray,gas,automatic,1.6,-0.8427158222260497,riyadh,45000,7
260,hyundai,azera,2023,gray,gas,automatic,3.5,-1.173537149271161,riyadh,135000,0
261,gmc,sierra,2022,blue,gas,automatic,5.0,-1.14257690262933,riyadh,159000,1
262,chevrolet,spark,2020,gray,gas,automatic,1.4,-0.13811462030320526,riyadh,29400,3
263,kia,optima,2020,blue,gas,automatic,2.4,-0.4279835463385923,riyadh,75000,3
264,hyundai,azera,2022,gray,gas,automatic,3.5,-0.7076867091464124,riyadh,116000,1
265,chevrolet,captiva,2022,black,gas,cvt,1.5,-0.8716506321716863,riyadh,68000,1
266,toyota,rush,2022,white,gas,automatic,1.5,-0.8330708855775042,riyadh,65000,1
267,hyundai,tucson,2022,black,gas,automatic,2.0,-1.1031291117367787,riyadh,95000,1
268,hyundai,azera,2022,gray,gas,automatic,3.5,-1.1224189850338697,riyadh,118000,1
269,chevrolet,spark,2020,gray,gas,automatic,1.4,-0.25083499491475675,riyadh,29500,3
270,kia,optima,2020,white,gas,automatic,2.4,-0.7462664557405945,riyadh,65000,3
271,nissan,maxima,2017,white,gas,automatic,3.5,1.1248512540772364,riyadh,70000,6
272,hyundai,tucson,2021,white,gas,automatic,2.0,-0.254374686664773,riyadh,77000,2
273,hyundai,azera,2022,gray,gas,automatic,3.5,-1.1899335415736885,riyadh,145000,1
274,lexus,lx,2013,white,gas,automatic,5.7,2.1954392220657892,riyadh,155000,10
275,hyundai,santa fe,2018,white,gas,automatic,3.3,1.192365810617055,riyadh,65000,5
276,toyota,hilux,2015,white,gas,manual,2.7,-0.3449213519213183,riyadh,58000,8
277,nissan,kicks,2022,gray,gas,automatic,1.6,-1.1899335415736885,riyadh,75000,1
278,chevrolet,spark,2019,white,gas,automatic,1.4,0.5667469949091499,riyadh,29600,4
279,chevrolet,spark,2020,white,gas,automatic,1.4,-0.2835602649632717,riyadh,29700,3
280,ford,taurus,2020,brown,gas,automatic,2.5,-0.3604689897987737,riyadh,90000,3
281,hyundai,accent,2020,gray,gas,automatic,1.4,-0.5244329128240475,riyadh,47000,3
282,kia,cerato,2022,white,gas,automatic,1.6,-0.997034808602778,riyadh,60000,1
283,toyota,camry,2020,gray,gas,automatic,2.4,-0.254374686664773,riyadh,79000,3
284,kia,sportage,2018,yellow,gas,automatic,1.6,-0.7462664557405945,riyadh,85000,5
285,toyota,corolla,2020,red,gas,cvt,1.6,-0.5244329128240475,riyadh,64000,3
286,nissan,altima,2020,black,gas,cvt,2.5,-0.4086936730415013,riyadh,80000,3
287,chevrolet,spark,2020,white,gas,automatic,1.4,-0.285952209252111,riyadh,29800,3
288,chevrolet,spark,2020,white,gas,automatic,1.4,-0.21941179131379546,riyadh,29800,3
289,toyota,fortuner,2019,white,gas,automatic,3.5,0.034973412791592634,riyadh,116000,4
290,hyundai,azera,2018,brown,gas,automatic,3.5,-0.1772151934764088,riyadh,80000,5
291,hyundai,kona,2020,white,gas,automatic,1.5,-0.997034808602778,riyadh,65000,3
292,kia,seltos,2021,yellow,gas,automatic,1.6,-0.9005854421173228,riyadh,70000,2
293,hyundai,azera,2020,blue,gas,automatic,3.5,-0.5823025327153206,riyadh,88000,3
294,lexus,lx,2010,black,gas,automatic,5.7,3.5650202261592527,riyadh,99000,13
295,lexus,lx,2013,white,gas,automatic,5.7,1.674612643044331,riyadh,150000,10
296,chevrolet,spark,2020,white,gas,cvt,1.4,-0.03074718553159654,riyadh,29800,3
297,chevrolet,spark,2020,gray,gas,automatic,1.4,-0.5330747760611443,riyadh,29800,3
298,hyundai,azera,2018,white,gas,automatic,3.5,1.0766265708345089,riyadh,82000,5
299,hyundai,sonata,2021,gray,gas,automatic,2.5,-1.0452594918455056,riyadh,89000,2
300,chevrolet,tahoe,2019,white,gas,automatic,5.2,-0.4183386096900468,riyadh,147000,4
301,toyota,land cruiser,2014,white,gas,manual,4.2,1.173075937319964,riyadh,65000,9
302,toyota,avalon,2020,white,gas,automatic,1.0,-0.49549810287841095,riyadh,122000,3
303,toyota,camry,2020,black,hybrid,automatic,2.5,-0.5437227861211386,riyadh,82000,3
304,nissan,kicks,2022,gray,gas,cvt,1.6,-1.1752925277411963,riyadh,68000,1
305,toyota,land cruiser,2013,white,gas,automatic,5.7,2.30153352519979,riyadh,109000,10
306,chevrolet,spark,2020,white,gas,automatic,1.4,0.023544162863066192,riyadh,29800,3
307,chevrolet,spark,2020,white,gas,automatic,1.4,-0.20464539330487228,riyadh,29900,3
